Repository,Commit,Comment,Category,Verdict,Added AFP for diff3 (files)
storybook,e24fa909cbb2f36435f53fd67a173ec8c04eb6fc,"Neither diff3 nor csdiff reported conflict to the same file quadruple where the csdiff result diverged from the repository merge. The result also diverged for diff3, which indicates a manual change at the final merge result made by the developer.",manual-modification,not-afn,0
storybook,185687fa9e1e483162ed44325d3462d0f4de1c2b,"Q(quadruple)1: both tools diverged from the original merde due to a whitespace removed manually from the final merge result.

Q2: In another file quadruple we can observe 2 conflicts present for diff3 that are not present for csdiff, however both results diverge due to a manual change at the final merge result. CSDiff would have got it right if it wasn't this change.

Q3: Similar to Q1",manual-modification,"diff3-afp, not-afn",1
storybook,a88d010f7c0e6ab1fd5d14323c4482d6de52c428,"Q1: Results are equal to each other and to the final merge in the repository
 
Q2: Results are equal to each other and to the final merge in the repository

Q3: CsfFile.test.ts - Manual modification, CSDiff would have merged correctly otherwise",manual-modification,"diff3-afp, not-afn",1
storybook,494d432e4cc4e5f90c9ace93f1043e2d4c948598,"Q1: Results are equal to each other and to the final merge in the repository
 
Q2: /app/angular/src/builders/build-storybook/index.ts - Swapped import lines on the final merge. CSDiff's solution does not harm the code semantics. Manual modification, CSDiff would have merged correctly otherwise

Q3: Results are equal to each other and to the final merge in the repository
 
Q4: Results are equal to each other and to the final merge in the repository
 ",manual-modification,"diff3-afp, not-afn",1
storybook,3901ddc5ab6609fea76c972c00bdef61e34f218c,"Q1: lib/stories.ts - Complex case. Manual changes were made: Neither diff3 nor CSDiff would have got it right in this case, because the necessary adjustments impact on the overall code semantic. In the conflicts that CSDiff solved correctly, the code semantics was harmed. 

Q2: layout.ts - Modifications to the final merge file removed some imports. Manual modification, CSDiff would have merged correctly otherwise",manual-modification,diff3-afp,1
storybook,febec0f0c0c6dbf7efa6749d9210e16c5f704663,"Q1: /lib/api/src/modules/stories.ts - Manual modification, CSDiff would have merged correctly otherwise",manual-modification,"diff3-afp, not-afn",1
storybook,1d7a1979e966268d02963a2018b19172e2583563,"Q1: lib/channels/src/index.ts - Manual modification, CSDiff would have merged correctly otherwise",manual-modification,"diff3-afp, not-afn",1
vscode,75622a6c6a23b61602a4283e6172ec5b11016f97,"Q1: src/vs/workbench/contrib/debug/browser/disassemblyView.ts - A comment had its text updated and a line of code that CSDiff had merged correctly was encapsulated in a if clause that did not exist anywhere previously on left/right/base. Manual modification, CSDiff would have merged correctly otherwise",manual-modification,"diff3-afp, not-afn",1
vscode,3246b3ec189b2def71e6c633887c7dbdacf6c5ce,"Q1: src/vs/platform/terminal/node/ptyService.ts - Swapped import lines on the final merge. CSDiff's solution does not harm the code semantics. Manual modification, CSDiff would have merged correctly otherwise.",manual-modification,"diff3-afp, not-afn",1
vscode,631f1bdb8fdfe4491610e54bca68afeb85fb729c,"Q1: Results are equal to each other and to the final merge in the repository

Q2: src/vs/base/common/lifecycle.ts - The solution proposed by both diff3 and csdiff breaks code semantics. CSDiff tried to solved but messed the code, probably due to the alignment problem. aFN CSDiff confirmed.",csdiff-error,afn-confirmed,0
